"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","0","2","2","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","414","72","2","7","197","7","699","59","COUNTY TRANSFER - OUT","241","122","4","2","91","2","462"
"DESIGNATED STATE AGENCIES","2","1","0","0","1","0","4","0","CRIMINAL CONVICTION","1","0","0","0","0","0","1"
"ELDERLY / DISABLED","64","10","1","0","24","0","99","1","DEATH NOTICE","163","85","2","0","26","0","276"
"FROM ANOTHER BOARD","12","4","0","1","0","1","18","3","DUPLICATE","28","8","0","0","5","0","41"
"PROVISIONAL BALLOT","724","144","0","0","23","1","892","45","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","5","1","1","0","2","1","10","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","817","233","14","13","486","10","1,573","375","MOVED OUT OF STATE","132","65","2","0","71","3","273"
"NVRA BY MAIL","1","0","0","0","0","0","1","0","OTHER","28","3","0","0","16","2","49"
"OTHER MEANS","122","41","4","0","42","3","212","46","VOTER REQUEST","0","1","0","0","3","0","4"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","146","55","0","0","63","4","268"
"SOCIAL SERVICES","0","0","0","0","1","0","1","0","","","","","","","",""
"VOLUNTEER","98","17","0","1","34","7","157","0","","","","","","","",""
"TOTAL","2,260","524","22","22","810","30","3,668","531","TOTAL","739","339","8","2","275","11","1,374"
