"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","32","14","0","1","12","1","60","11","COUNTY TRANSFER - OUT","25","26","0","0","10","0","61"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","42","30","0","0","2","1","75"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","1","DUPLICATE","1","2","0","0","1","0","4"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","2","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","2","0","0","1","0","5","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","132","89","1","2","71","1","296","77","MOVED OUT OF STATE","12","3","1","1","3","0","20"
"NVRA BY MAIL","1","4","0","0","4","0","9","1","OTHER","3","2","0","0","2","0","7"
"OTHER MEANS","0","0","0","0","0","0","0","0","VOTER REQUEST","2","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","6","3","0","0","1","0","10"
"SOCIAL SERVICES","5","1","0","0","0","0","6","0","","","","","","","",""
"VOLUNTEER","2","0","0","0","0","0","2","0","","","","","","","",""
"TOTAL","174","110","1","3","88","2","378","94","TOTAL","92","66","1","1","19","1","180"
