"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","2","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","68","44","0","2","35","3","152","29","COUNTY TRANSFER - OUT","87","58","1","2","36","2","186"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","2","1","0","0","2","0","5"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","57","22","0","0","7","0","86"
"FROM ANOTHER BOARD","4","3","0","0","3","1","11","1","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","2","MAIL VERIFICATION (NVRA)","19","18","0","0","1","0","38"
"IN PERSON","1","0","0","0","0","0","1","5","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","261","207","3","3","191","9","674","41","MOVED OUT OF STATE","22","39","1","0","10","1","73"
"NVRA BY MAIL","14","13","0","0","7","0","34","2","OTHER","5","4","0","0","2","0","11"
"OTHER MEANS","3","5","0","0","1","0","9","9","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","33","37","0","1","18","0","89"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","2","1","0","0","2","0","5","0","","","","","","","",""
"TOTAL","354","273","3","5","239","13","887","91","TOTAL","225","179","2","3","76","3","488"
