"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","20","7","1","0","13","0","41","13","COUNTY TRANSFER - OUT","24","28","2","0","18","0","72"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","1","0","0","2","0","4"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","27","13","0","0","4","0","44"
"FROM ANOTHER BOARD","23","24","0","0","12","0","59","5","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1","0","0","0","0","0","1"
"IN PERSON","0","1","0","0","1","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","58","59","0","1","45","0","163","62","MOVED OUT OF STATE","5","3","0","0","8","0","16"
"NVRA BY MAIL","4","4","0","1","3","0","12","2","OTHER","0","1","0","0","0","0","1"
"OTHER MEANS","1","2","0","0","0","0","3","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","1","1","0","1","3","9"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","106","97","1","2","74","0","280","82","TOTAL","61","47","3","0","33","3","147"
