"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","1","0","0","2","0","6","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","166","13","2","1","41","0","223","18","COUNTY TRANSFER - OUT","483","98","0","0","96","62","739"
"DESIGNATED STATE AGENCIES","235","20","0","0","56","5","316","0","CRIMINAL CONVICTION","3","1","0","0","0","1","5"
"ELDERLY / DISABLED","121","3","0","0","19","1","144","1","DEATH NOTICE","117","28","1","0","7","11","164"
"FROM ANOTHER BOARD","316","39","0","3","74","3","435","21","DUPLICATE","7","2","0","0","5","1","15"
"PROVISIONAL BALLOT","47","1","0","0","5","0","53","5","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","24","1","0","0","3","0","28","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","448","40","2","1","129","6","626","35","MOVED OUT OF STATE","49","9","0","1","9","5","73"
"NVRA BY MAIL","1","0","0","0","1","0","2","3","OTHER","14","0","0","0","3","0","17"
"OTHER MEANS","193","17","0","0","20","2","232","19","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1,102","175","1","2","143","86","1,509"
"SOCIAL SERVICES","1","0","0","0","0","0","1","0","","","","","","","",""
"VOLUNTEER","28","2","0","0","8","1","39","0","","","","","","","",""
"TOTAL","1,583","137","4","5","358","18","2,105","104","TOTAL","1,775","313","2","3","263","166","2,522"
