"Talbot","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","12","13","0","0","6","0","31","0","COUNTY TRANSFER - OUT","12","5","0","0","6","0","23"
"DESIGNATED STATE AGENCIES","0","3","0","0","0","0","3","0","CRIMINAL CONVICTION","0","1","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","1","1","0","0","1","0","3"
"FROM ANOTHER BOARD","2","0","0","0","0","1","3","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","58","22","0","0","22","2","104"
"IN PERSON","1","2","0","0","2","0","5","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","24","25","1","0","14","1","65","0","MOVED OUT OF STATE","4","6","0","0","0","0","10"
"NVRA BY MAIL","0","0","1","0","0","0","1","0","OTHER","0","0","0","0","0","0","0"
"OTHER MEANS","0","0","0","0","0","0","0","15","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","39","43","2","0","22","2","108","15","TOTAL","75","35","0","0","29","2","141"
