"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","19","8","0","1","6","0","34","12","BOARD ACTION","10","2","0","0","1","0","13"
"BY MAIL","2,414","829","16","28","976","44","4,307","513","COUNTY TRANSFER - OUT","2,569","1,147","18","12","851","94","4,691"
"DESIGNATED STATE AGENCIES","260","40","0","0","70","7","377","126","CRIMINAL CONVICTION","67","27","0","0","22","1","117"
"ELDERLY / DISABLED","191","16","3","0","44","2","256","4","DEATH NOTICE","1,317","530","4","1","101","19","1,972"
"FROM ANOTHER BOARD","504","133","0","7","141","9","794","85","DUPLICATE","92","29","1","0","23","2","147"
"PROVISIONAL BALLOT","771","147","0","0","29","1","948","57","MAIL VERIFICATION (NVRA)","415","305","6","0","126","9","861"
"IN PERSON","117","46","2","3","33","5","206","25","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","5,351","2,402","47","82","2,855","98","10,835","1,536","MOVED OUT OF STATE","469","295","7","3","176","16","966"
"NVRA BY MAIL","298","145","2","3","128","5","581","28","OTHER","107","39","0","2","47","2","197"
"OTHER MEANS","473","105","5","0","108","7","698","786","VOTER REQUEST","2","5","0","1","4","0","12"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1,561","531","5","5","375","100","2,577"
"SOCIAL SERVICES","18","2","0","0","8","0","28","2","","","","","","","",""
"VOLUNTEER","300","74","1","2","86","9","472","0","","","","","","","",""
"TOTAL","10,716","3,947","76","126","4,484","187","19,536","3,174","TOTAL","6,609","2,910","41","24","1,726","243","11,553"
