"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","1","0","3","1","BOARD ACTION","8","1","0","0","0","0","9"
"BY MAIL","291","49","3","0","66","4","413","71","COUNTY TRANSFER - OUT","588","117","1","0","120","4","830"
"DESIGNATED STATE AGENCIES","0","1","0","0","1","0","2","0","CRIMINAL CONVICTION","22","1","0","0","2","0","25"
"ELDERLY / DISABLED","1","0","0","0","0","0","1","2","DEATH NOTICE","258","24","1","0","10","1","294"
"FROM ANOTHER BOARD","43","5","0","1","6","1","56","16","DUPLICATE","1","0","1","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","40","2","0","1","6","0","49","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","785","128","4","6","236","16","1,175","260","MOVED OUT OF STATE","1","0","0","0","0","0","1"
"NVRA BY MAIL","13","2","0","1","6","0","22","1","OTHER","13","0","0","0","4","0","17"
"OTHER MEANS","98","8","1","0","14","1","122","41","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","2","0","0","0","2","0","4","1","","","","","","","",""
"VOLUNTEER","113","10","0","1","19","1","144","0","","","","","","","",""
"TOTAL","1,387","206","8","10","357","23","1,991","397","TOTAL","891","143","3","0","136","5","1,178"
