"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","2","0","1","0","0","6","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","597","188","5","7","179","17","993","14","COUNTY TRANSFER-OUT","441","195","3","1","149","9","798"
"DESIGNATED STATE AGENCIES","5","2","0","0","4","0","11","1","CRIMINAL CONVICTION","28","14","0","0","11","0","53"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","277","88","0","0","13","3","381"
"FROM ANOTHER BOARD","6","3","0","0","1","1","11","2","DUPLICATE","36","6","0","0","5","1","48"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","32","4","1","0","6","1","44"
"IN PERSON","6","1","0","0","0","0","7","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,003","378","2","13","431","25","1,852","40","MOVED OUT OF STATE","77","27","2","1","18","5","130"
"NVRA BY MAIL","147","42","0","0","52","3","244","3","OTHER","18","7","0","2","8","0","35"
"OTHER MEANS","23","9","0","0","11","1","44","500","VOTER REQUEST","0","0","0","1","1","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","14","4","1","0","3","0","22"
"SOCIAL SERVICES","2","0","0","0","0","0","2","0","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","1","0","","","","","","","",""
"TOTAL","1,792","626","7","21","678","47","3,171","560","TOTAL","923","345","7","5","214","19","1,513"
