"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","0","1","3","13","BOARD ACTION","0","0","0","0","0","1","0","1"
"BY MAIL","1402","679","1","16","24","619","30","2,771","383","CONFIRMATION MAIL","109","35","0","0","0","18","1","163"
"DESIGNATED STATE AGENCIES","28","6","0","0","0","13","0","47","6","COUNTY TRANSFER - OUT","3,588","1,512","2","32","42","1,297","51","6,524"
"ELDERLY / DISABLED","0","0","0","0","0","2","0","2","5","CRIMINAL CONVICTION","64","25","0","0","1","34","0","124"
"FROM ANOTHER BOARD","25","12","0","0","1","8","4","50","4","DEATH NOTICE","2,988","1,224","0","6","1","353","54","4,626"
"PROVISIONAL BALLOT","6","0","0","0","1","2","0","9","7","DUPLICATE","4","1","0","0","0","1","0","6"
"IN PERSON","21","8","0","0","0","7","2","38","12","MAIL VERIFICATION (NVRA)","9,645","2,737","3","93","69","3,100","89","15,736"
"MOTOR VEHICLE ADMINISTRATION","6661","2470","1","42","129","3458","50","12,811","9,152","MENTAL INCOMPETENCY","0","0","0","0","0","1","0","1"
"NVRA BY MAIL","40","8","0","0","2","13","1","64","8","MOVED OUT OF STATE","619","368","0","7","7","317","15","1,333"
"ONLINE REGISTRATION","286","148","0","4","15","189","4","646","40","OTHER","286","95","1","2","0","152","1","537"
"OTHER MEANS","287","173","0","1","7","208","0","676","1,219","VOTER REQUEST","2","6","0","0","0","8","1","17"
"RECRUITING","0","0","0","0","0","0","0","0","0","","","","","","","","","0"
"SOCIAL SERVICES","35","11","0","0","0","29","0","75","10","","","","","","","","",""
"VOLUNTEER","22","23","0","0","2","30","0","77","0","","","","","","","","",""
"TOTAL","8,814","3,539","2","63","181","4,578","92","17,269","10,859","TOTAL","17,305","6,003","6","140","120","5,282","212","29,068"
