"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","0","0","0","0","0","0","1","3","10","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","168","92","0","0","0","0","72","4","336","330","CONFIRMATION MAIL","0","1","0","0","0","0","0","0","1"
"DESIGNATED STATE AGENCIES","257","47","0","2","1","1","170","21","499","41","COUNTY TRANSFER - OUT","3,204","1,095","8","26","4","3","1,160","60","5,560"
"ELDERLY / DISABLED / SOC SEC","284","45","1","0","2","0","150","75","557","1","CRIMINAL CONVICTION","30","6","0","0","1","0","5","1","43"
"ERIC REPORT","0","0","0","0","0","0","0","0","0","6","DEATH NOTICE","2,473","1,153","2","2","0","0","394","55","4,079"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","1","0","0","0","0","0","1","0","2"
"PROVISIONAL BALLOT","7","1","0","0","0","0","2","0","10","4","MAIL VERIFICATION (NVRA)","19,201","7,661","93","260","7","3","7,957","460","35,642"
"IN PERSON","33","4","1","0","0","0","5","1","44","73","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","6745","2103","23","102","40","5","3765","128","12,911","547","MOVED OUT OF STATE","373","460","1","3","1","0","210","13","1,061"
"NVRA BY MAIL","4","0","0","0","0","0","2","0","6","7","OTHER","17","9","0","0","0","0","6","1","33"
"ONLINE REGISTRATION","169","38","2","2","3","1","82","1","298","10","VOTER REQUEST","16","16","0","1","0","0","9","0","42"
"OTHER MEANS","21","7","0","0","0","0","8","0","36","21","","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","1","0","1","0","","","","","","","","","",""
"SAME DAY REGISTRATION","1","0","0","0","0","0","1","0","2","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","3","2","0","0","0","0","0","0","5","0","","","","","","","","","",""
"TOTAL","7,694","2,339","27","106","46","7","4,258","231","14,708","1,050","TOTAL","25,315","10,401","104","292","13","6","9,742","590","46,463"
