"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","0","1","2","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","146","103","1","0","1","73","1","325","21","COUNTY TRANSFER - OUT","107","74","0","1","0","45","4","231"
"DESIGNATED STATE AGENCIES","0","2","0","0","0","0","0","2","0","CRIMINAL CONVICTION","7","0","0","0","0","2","0","9"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","1","1","DEATH NOTICE","2","2","0","0","0","0","0","4"
"FROM ANOTHER BOARD","0","0","0","0","0","1","0","1","1","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1","3","0","0","0","1","0","5"
"IN PERSON","2","1","0","0","0","3","0","6","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","182","90","0","0","4","151","3","430","66","MOVED OUT OF STATE","20","21","0","0","0","11","0","52"
"NVRA BY MAIL","5","4","0","0","0","8","1","18","5","OTHER","12","5","0","0","2","14","1","34"
"OTHER MEANS","3","0","0","0","0","1","0","4","24","VOTER REQUEST","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","6","1","0","0","0","3","0","10","0","","","","","","","","",""
"TOTAL","345","202","1","0","5","240","5","798","122","TOTAL","150","105","0","1","2","73","5","336"
