"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","9","13","0","0","0","8","1","31","12","COUNTY TRANSFER - OUT","19","27","0","0","1","13","0","60"
"DESIGNATED STATE AGENCIES","3","0","0","0","0","0","0","3","1","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","15","11","0","0","0","1","0","27"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","2","0","0","0","1","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","6","3","0","0","0","5","5","19"
"IN PERSON","1","2","0","0","1","0","0","4","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","49","52","0","0","1","52","0","154","49","MOVED OUT OF STATE","6","9","0","0","0","4","0","19"
"NVRA BY MAIL","7","2","0","0","0","4","0","13","1","OTHER","0","0","0","0","0","1","0","1"
"OTHER MEANS","2","3","0","0","0","1","0","6","2","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","0","0","1","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","72","72","0","0","2","65","1","212","68","TOTAL","46","52","0","0","1","25","5","129"
