"","","","","","","","","","","","","","","","","",""
"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","94","36","0","0","4","2","136","86","BOARD ACTION","0","0","0","0","0","0","0"
"","BY MAIL","1065","384","3","15","365","40","1,872","709","CONFIRMATION MAIL","3","0","0","1","4","0","8"
"","DESIGNATED STATE AGENCIES","48","38","0","0","22","1","109","14","COUNTY TRANSFER - OUT","5,013","1,714","31","75","1,781","51","8,665"
"","ELDERLY / DISABLED","22","1","0","0","1","0","24","4","CRIMINAL CONVICTION","14","3","0","0","4","0","21"
"","FROM ANOTHER BOARD","31","21","0","0","3","1","56","45","DEATH NOTICE","392","250","1","2","70","9","724"
"","PROVISIONAL BALLOT","2","0","0","0","0","0","2","1","DUPLICATE","127","46","1","0","34","1","209"
"","IN PERSON","93","54","2","0","39","1","189","22","MAIL VERIFICATION (NVRA)","4","3","0","0","0","0","7"
"","MOTOR VEHICLE ADMINISTRATION","10461","4020","59","186","4945","121","19,792","1,536","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","NVRA BY MAIL","180","118","0","0","76","4","378","59","MOVED OUT OF STATE","1,333","832","12","24","618","38","2,857"
"","ONLINE REGISTRATION","3371","1295","6","26","712","22","5,432","99","OTHER","59","19","0","0","37","1","116"
"","OTHER MEANS","450","96","4","2","111","6","669","386","VOTER REQUEST","12","7","0","0","12","0","31"
"","RECRUITING","0","1","0","0","0","0","1","3","","","","","","","","0"
"","SOCIAL SERVICES","26","9","0","0","17","0","52","30","","","","","","","",""
"","VOLUNTEER","240","49","1","2","115","3","410","0","","","","","","","",""
"","TOTAL","16,083","6,122","75","231","6,410","201","29,122","2,994","TOTAL","6,957","2,874","45","102","2,560","100","12,638"
