"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","24","2","0","0","2","0","4","2","34","21","COUNTY TRANSFER - OUT","86","27","0","0","1","0","23","0","137"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","2","0","0","0","0","0","2","0","4"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","9","2","0","0","1","0","2","1","15"
"FROM ANOTHER BOARD","2","1","0","0","1","1","0","0","5","34","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","2","0","0","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","213","66","1","0","17","2","64","2","365","38","MOVED OUT OF STATE","20","27","0","0","1","0","12","0","60"
"NVRA BY MAIL","0","0","0","0","0","0","1","0","1","1","OTHER","2","0","0","0","0","0","1","0","3"
"OTHER MEANS","1","0","0","0","1","0","2","0","4","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","117","70","0","0","2","1","45","2","237"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","242","69","1","0","21","3","71","4","411","94","TOTAL","236","126","0","0","5","1","85","3","456"
