"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","116","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","122","23","3","0","4","0","39","2","193","205","COUNTY TRANSFER - OUT","370","82","1","0","4","2","77","29","565"
"DESIGNATED STATE AGENCIES","58","6","0","0","3","0","13","2","82","2","CRIMINAL CONVICTION","22","4","0","0","0","0","4","2","32"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","8","DEATH NOTICE","8","0","0","0","0","0","1","2","11"
"FROM ANOTHER BOARD","5","2","0","0","0","0","4","0","11","152","DUPLICATE","4","0","0","0","0","0","5","0","9"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","62","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","4","1","0","0","0","0","1","0","6","26","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","683","74","5","3","63","6","167","6","1,007","2,470","MOVED OUT OF STATE","157","26","0","0","0","1","35","11","230"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","10","OTHER","1","0","0","0","0","0","0","0","1"
"OTHER MEANS","35","7","0","1","0","1","11","0","55","8,260","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","112","","","","","","","","","",""
"VOLUNTEER","4","0","0","0","0","0","0","0","4","0","","","","","","","","","",""
"TOTAL","911","113","8","4","70","7","235","10","1,358","11,423","TOTAL","562","112","1","0","4","3","122","44","848"
