"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","2","0","0","0","0","0","0","2","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","30","39","1","0","2","2","19","0","93","4","COUNTY TRANSFER - OUT","53","31","0","0","2","2","30","0","118"
"DESIGNATED STATE AGENCIES","1","1","0","0","0","0","1","0","3","0","CRIMINAL CONVICTION","4","0","0","0","0","0","3","0","7"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","1","2","0","0","0","0","0","0","3"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","0","1","1","DUPLICATE","2","1","0","0","0","0","1","0","4"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","107","53","1","0","2","2","56","0","221"
"IN PERSON","2","6","0","0","0","0","2","0","10","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","101","115","2","0","35","2","92","0","347","33","MOVED OUT OF STATE","27","38","0","0","0","0","16","0","81"
"NVRA BY MAIL","4","5","1","0","1","0","1","0","12","3","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","5","3","0","0","1","0","5","0","14","1","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","255","161","2","0","1","5","122","0","546"
"SOCIAL SERVICES","1","1","0","0","0","0","2","0","4","1","","","","","","","","","",""
"VOLUNTEER","0","5","0","0","1","0","0","0","6","0","","","","","","","","","",""
"TOTAL","145","177","4","0","40","4","122","0","492","43","TOTAL","449","286","3","0","5","9","228","0","980"
