"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","2","3","0","0","0","0","3","0","8","1","COUNTY TRANSFER - OUT","5","15","0","0","0","0","3","0","23"
"DESIGNATED STATE AGENCIES","0","3","0","0","0","0","0","0","3","2","CRIMINAL CONVICTION","0","1","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","1","0","0","0","0","0","0","0","1"
"FROM ANOTHER BOARD","2","0","0","0","0","0","0","0","2","0","DUPLICATE","2","0","0","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","1","0","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","27","46","0","0","5","0","17","0","95","9","MOVED OUT OF STATE","3","3","0","0","0","0","4","0","10"
"NVRA BY MAIL","0","1","0","0","0","0","2","0","3","0","OTHER","0","1","0","0","0","0","0","0","1"
"OTHER MEANS","0","0","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","3","0","0","1","0","1","0","8"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","1","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","31","54","0","0","5","0","22","0","112","13","TOTAL","14","23","0","0","1","0","8","0","46"
