"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","2","1","0","0","0","0","0","0","3"
"BY MAIL","108","28","0","0","4","0","38","1","179","50","COUNTY TRANSFER - OUT","439","78","4","0","2","0","69","1","593"
"DESIGNATED STATE AGENCIES","0","0","0","0","1","0","0","0","1","0","CRIMINAL CONVICTION","19","2","0","0","0","0","3","0","24"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","3","0","0","0","0","0","0","0","3"
"FROM ANOTHER BOARD","2","0","0","0","0","0","0","0","2","0","DUPLICATE","2","0","0","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","4","0","0","0","1","0","1","0","6"
"IN PERSON","0","1","0","0","0","0","1","0","2","0","MENTAL INCOMPETENCY","2","0","0","0","0","0","0","0","2"
"MOTOR VEHICLE ADMINISTRATION","422","84","3","0","49","1","146","1","706","170","MOVED OUT OF STATE","49","16","1","0","0","2","15","0","83"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","1","0","0","0","0","0","0","0","1"
"OTHER MEANS","4","0","0","0","0","0","2","0","6","2","VOTER REQUEST","0","1","0","0","0","0","2","0","3"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","111","17","2","0","0","0","32","1","163"
"SOCIAL SERVICES","4","0","0","0","0","0","1","0","5","4","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","540","113","3","0","54","1","188","2","901","226","TOTAL","632","115","7","0","3","2","122","2","883"
