"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","115","54","0","0","15","4","36","1","225","6","COUNTY TRANSFER-OUT","317","119","3","0","1","2","83","4","529"
"DESIGNATED STATE AGENCIES","23","6","0","0","0","0","7","0","36","0","CRIMINAL CONVICTION","8","0","0","0","0","0","2","0","10"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","7","0","0","0","0","0","0","0","7"
"FROM ANOTHER BOARD","3","0","0","0","0","0","0","0","3","0","DUPLICATE","9","1","0","0","0","0","2","0","12"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","11","1","0","0","0","0","2","0","14"
"IN PERSON","8","1","0","0","1","0","5","0","15","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","759","255","7","0","98","8","264","9","1,400","40","MOVED OUT OF STATE","57","35","0","0","2","0","32","1","127"
"NVRA BY MAIL","29","10","0","0","7","1","14","0","61","1","OTHER","3","3","0","0","0","0","3","0","9"
"OTHER MEANS","6","3","0","0","0","0","1","0","10","266","VOTER REQUEST","2","0","0","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","338","169","2","0","0","1","56","7","573"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","943","329","8","0","121","13","327","10","1,751","313","TOTAL","752","328","5","0","3","3","180","12","1,283"
