"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","1","BOARD ACTION","23","3","0","0","0","0","1","1","28"
"BY MAIL","148","24","2","0","0","0","30","1","205","9","COUNTY TRANSFER - OUT","597","104","3","0","1","0","106","3","814"
"DESIGNATED STATE AGENCIES","3","1","0","0","0","0","0","0","4","0","CRIMINAL CONVICTION","372","46","2","0","1","0","69","1","491"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","1","DEATH NOTICE","30","5","0","0","0","0","1","0","36"
"FROM ANOTHER BOARD","25","4","0","0","0","0","7","1","37","2","DUPLICATE","94","8","0","0","0","0","8","2","112"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","14","1","1","0","0","0","2","0","18","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","441","126","5","1","3","0","208","4","788","23","MOVED OUT OF STATE","25","9","3","0","0","0","7","0","44"
"NVRA BY MAIL","8","6","0","0","0","0","4","0","18","1","OTHER","5","2","0","0","0","0","1","0","8"
"OTHER MEANS","7","0","0","0","0","0","0","1","8","1","VOTER REQUEST","1","2","0","0","0","0","1","0","4"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","11","2","0","0","0","0","2","0","15","0","","","","","","","","","",""
"TOTAL","657","164","8","1","3","0","253","7","1,093","38","TOTAL","1,147","179","8","0","2","0","194","7","1,537"
