"Dorchester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","1","1","0","0","0","0","0","0","2","0","COUNTY TRANSFER - OUT","13","8","0","0","0","0","1","1","23"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","1","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","19","10","0","0","0","0","3","1","33"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","1","0","0","0","0","1","0","2"
"IN PERSON","0","3","0","0","0","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","23","13","0","0","0","0","10","0","46","8","MOVED OUT OF STATE","2","7","0","0","0","0","0","0","9"
"NVRA BY MAIL","2","0","0","0","0","0","0","0","2","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","1","0","0","0","0","0","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","12","16","0","0","0","0","5","0","33"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","26","19","0","0","0","0","10","0","55","8","TOTAL","46","43","0","0","0","0","10","2","101"
