"SUMMARY","","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","","DEM","REP","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","3","0","0","0","0","3","5","BOARD ACTION","0","0","0","0","0","0"
"BY MAIL","","132","53","1","63","5","254","499","CONFIRMATION MAIL","6","2","0","1","0","9"
"DESIGNATED STATE AGENCIES","","233","51","0","203","22","509","59","COUNTY TRANSFER - OUT","2,639","835","29","1,081","88","4,672"
"ELDERLY / DISABLED / SOC SEC","","109","28","1","84","10","232","0","CRIMINAL CONVICTION","45","2","0","8","1","56"
"ERIC REPORT","","4","0","0","0","0","4","2","DEATH NOTICE","2,307","1,146","2","470","38","3,963"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","91","18","0","37","3","149"
"PROVISIONAL BALLOT","","1","0","0","0","0","1","2","MAIL VERIFICATION (NVRA)","530","142","7","312","13","1,004"
"IN PERSON","","8","4","0","6","0","18","2","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","5269","2222","106","4568","224","12,389","367","MOVED OUT OF STATE","190","105","1","62","2","360"
"NVRA BY MAIL","","3","4","1","9","0","17","8","OTHER","13","7","0","10","0","30"
"ONLINE REGISTRATION","","186","105","2","130","4","427","0","VOTER REQUEST","30","18","0","15","2","65"
"OTHER MEANS","","160","18","0","79","5","262","41","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","0","","","","","","",""
"SAME DAY REGISTRATION","","0","0","0","0","0","0","0","","","","","","",""
"SOCIAL SERVICES","","0","0","0","0","0","0","0","","","","","","",""
"VOLUNTEER","","22","3","0","14","0","39","0","","","","","","",""
"TOTAL","","6,130","2,488","111","5,156","270","14,155","985","TOTAL","5,851","2,275","39","1,996","147","10,308"
