"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","2","0","0","0","0","2","0","6","26","BOARD ACTION","370","115","3","0","1","4","66","3","562"
"BY MAIL","558","326","5","1","1","18","194","3","1,106","284","COUNTY TRANSFER - OUT","1,719","753","16","0","36","16","448","41","3,029"
"DESIGNATED STATE AGENCIES","125","16","0","0","6","0","35","1","183","7","CRIMINAL CONVICTION","167","25","1","0","0","0","38","1","232"
"ELDERLY / DISABLED","7","1","0","0","3","1","2","0","14","5","DEATH NOTICE","1,836","894","2","1","13","7","197","28","2,978"
"FROM ANOTHER BOARD","15","23","0","0","3","0","7","0","48","68","DUPLICATE","612","70","0","0","1","1","78","71","833"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","8","MAIL VERIFICATION (NVRA)","97","73","2","0","4","1","48","2","227"
"IN PERSON","31","24","1","0","8","0","12","0","76","17","MENTAL INCOMPETENCY","1","1","0","0","0","0","0","1","3"
"MOTOR VEHICLE ADMINISTRATION","3,941","1,679","30","11","720","62","1,640","33","8,116","1,409","MOVED OUT OF STATE","749","426","3","0","18","3","289","12","1,500"
"NVRA BY MAIL","59","71","0","0","17","1","39","0","187","20","OTHER","49","17","2","0","8","0","18","4","98"
"OTHER MEANS","71","25","0","0","4","1","22","1","124","9,505","VOTER REQUEST","11","2","0","0","0","0","2","0","15"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1,139","709","12","0","16","13","570","34","2,493"
"SOCIAL SERVICES","7","6","0","0","0","0","14","0","27","82","","","","","","","","","",""
"VOLUNTEER","6","16","1","0","0","0","3","0","26","0","","","","","","","","","",""
"TOTAL","4,822","2,189","37","12","762","83","1,970","38","9,913","11,431","TOTAL","6,750","3,085","41","1","97","45","1,754","197","11,970"
