"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","2","0","2","22","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","86","13","1","0","5","0","11","1","117","72","COUNTY TRANSFER - OUT","332","88","1","0","4","2","46","22","495"
"DESIGNATED STATE AGENCIES","79","3","0","0","5","0","25","0","112","4","CRIMINAL CONVICTION","18","0","0","0","0","0","3","0","21"
"ELDERLY / DISABLED","5","0","0","0","1","0","0","0","6","3","DEATH NOTICE","296","49","0","0","0","2","18","14","379"
"FROM ANOTHER BOARD","3","1","0","0","0","0","0","0","4","59","DUPLICATE","535","42","0","0","0","1","47","71","696"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","8","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","3","0","0","0","2","0","1","0","6","6","MENTAL INCOMPETENCY","0","1","0","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","706","86","4","2","58","3","166","5","1,030","616","MOVED OUT OF STATE","110","14","2","0","0","0","19","7","152"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","4","OTHER","15","3","0","0","1","0","8","4","31"
"OTHER MEANS","28","3","0","0","1","0","6","1","39","8,988","VOTER REQUEST","9","0","0","0","0","0","0","0","9"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","0","0","0","1","79","","","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"TOTAL","912","106","5","2","72","3","211","7","1,318","9,861","TOTAL","1,315","197","3","0","5","5","141","118","1,784"
