"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","2","0","0","0","0","2","1","5"
"BY MAIL","4","2","0","0","1","0","3","0","10","9","COUNTY TRANSFER - OUT","26","19","2","0","0","0","9","0","56"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","4","2","0","0","0","0","1","0","7"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","6","5","0","0","0","0","0","0","11"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","0","1","1","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","1","1","0","0","0","0","0","0","2","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","74","53","0","1","13","1","31","0","173","35","MOVED OUT OF STATE","6","7","0","0","0","0","2","0","15"
"NVRA BY MAIL","2","0","0","0","0","0","0","0","2","0","OTHER","2","2","0","0","0","0","1","0","5"
"OTHER MEANS","0","0","0","0","0","0","0","0","0","1","VOTER REQUEST","2","0","0","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","39","34","0","0","0","0","19","0","92"
"SOCIAL SERVICES","0","2","0","0","0","0","0","0","2","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","82","59","0","1","14","1","34","0","191","47","TOTAL","85","71","2","0","0","0","34","1","193"
