"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","1","BOARD ACTION","7","0","0","0","0","0","0","0","7"
"BY MAIL","118","25","0","0","8","4","37","0","192","35","COUNTY TRANSFER - OUT","403","74","3","0","1","3","88","2","574"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","0","1","1","CRIMINAL CONVICTION","157","12","0","0","1","0","27","0","197"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","7","1","0","0","0","0","0","0","8"
"FROM ANOTHER BOARD","13","2","0","0","0","0","1","0","16","1","DUPLICATE","0","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","0","1","1","MAIL VERIFICATION (NVRA)","1","0","0","0","0","0","0","0","1"
"IN PERSON","3","0","0","0","0","0","1","0","4","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","505","90","1","0","36","4","174","4","814","175","MOVED OUT OF STATE","60","12","0","0","1","0","16","2","91"
"NVRA BY MAIL","2","0","0","0","0","0","0","0","2","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","3","0","0","0","0","0","1","0","4","4","VOTER REQUEST","1","0","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","478","72","5","0","0","3","139","4","701"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","1","","","","","","","","","",""
"TOTAL","646","117","1","0","44","8","214","4","1,034","220","TOTAL","1,114","172","8","0","3","6","270","8","1,581"
