"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","250","55","1","1","0","0","63","6","376","463","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","912","372","2","1","1","2","291","20","1,601","432","CONFIRMATION MAIL","10","1","0","0","0","0","2","0","13"
"DESIGNATED STATE AGENCIES","383","108","0","1","12","1","211","37","753","10","COUNTY TRANSFER - OUT","7,094","2,079","15","67","1","1","2,402","136","11,795"
"ELDERLY / DISABLED / SOC SEC","2097","530","8","17","9","6","937","142","3,746","7","CRIMINAL CONVICTION","22","5","0","0","0","0","13","1","41"
"ERIC REPORT","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","1,704","667","2","7","0","0","256","36","2,672"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","6","1","0","0","0","0","1","0","8"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","0","1","14","MAIL VERIFICATION (NVRA)","8,883","2,753","49","95","1","1","3,581","141","15,504"
"IN PERSON","71","31","0","1","0","0","21","1","125","15","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","9451","3675","0","1","46","10","5368","159","18,710","506","MOVED OUT OF STATE","255","107","2","0","0","0","93","6","463"
"NVRA BY MAIL","74","33","0","0","0","0","22","0","129","18","OTHER","19","8","0","1","0","1","19","6","54"
"ONLINE REGISTRATION","6929","2733","14","27","46","17","3532","121","13,419","123","VOTER REQUEST","14","6","0","0","0","0","11","0","31"
"OTHER MEANS","157","32","1","1","0","0","38","5","234","79","","","","","","","","","",""
"RECRUITING","2","0","0","0","0","0","0","0","2","0","","","","","","","","","",""
"SAME DAY REGISTRATION","1","0","0","0","0","0","1","0","2","0","","","","","","","","","",""
"SOCIAL SERVICES","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"VOLUNTEER","968","703","9","4","24","3","594","29","2,334","18","","","","","","","","","",""
"TOTAL","21,297","8,272","35","54","138","39","11,078","520","41,433","1,685","TOTAL","18,007","5,627","68","170","2","3","6,378","326","30,581"
