"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","1","0","BOARD ACTION","2","0","0","0","0","0","0","2"
"BY MAIL","1280","502","0","12","13","506","16","2,329","686","CONFIRMATION MAIL","58","50","0","1","1","41","2","153"
"DESIGNATED STATE AGENCIES","10","10","0","0","0","6","0","26","1","COUNTY TRANSFER - OUT","3,595","1,451","0","25","35","1,240","41","6,387"
"ELDERLY / DISABLED","2","0","0","0","0","1","0","3","7","CRIMINAL CONVICTION","80","22","1","0","0","27","3","133"
"FROM ANOTHER BOARD","35","18","0","1","0","12","1","67","448","DEATH NOTICE","6,339","1,905","0","11","3","628","229","9,115"
"PROVISIONAL BALLOT","2","0","0","0","0","1","0","3","3","DUPLICATE","1,310","417","0","7","1","363","45","2,143"
"IN PERSON","30","8","0","0","1","19","1","15","15","MAIL VERIFICATION (NVRA)","4,188","2,475","0","51","57","2,220","176","9,167"
"MOTOR VEHICLE ADMINISTRATION","5635","2270","0","34","111","2985","37","11,072","2,406","MENTAL INCOMPETENCY","0","1","0","0","0","0","0","1"
"NVRA BY MAIL","37","31","1","0","0","20","1","90","83","MOVED OUT OF STATE","647","518","0","4","8","330","14","1,521"
"ONLINE REGISTRATION","352","150","0","4","10","163","5","684","56","OTHER","84","16","0","0","2","34","0","136"
"OTHER MEANS","62","37","0","2","0","25","3","129","848","VOTER REQUEST","3","5","0","0","0","2","0","10"
"RECRUITING","0","0","0","0","0","0","0","0","0","","","","","","","","","0"
"SOCIAL SERVICES","35","6","0","0","0","25","0","66","20","","","","","","","","",""
"VOLUNTEER","14","10","0","1","1","11","0","37","0","","","","","","","","",""
"TOTAL","7,495","3,042","1","54","136","3,774","64","14,522","4,573","TOTAL","16,306","6,860","1","99","107","4,885","510","28,768"
