"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","2","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","18","21","0","0","1","0","12","0","52","3","COUNTY TRANSFER - OUT","15","14","0","0","1","0","6","1","37"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","49","26","0","0","0","0","5","2","82"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","1","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","104","94","1","2","23","0","49","1","274","22","MOVED OUT OF STATE","8","12","0","0","0","1","8","1","30"
"NVRA BY MAIL","4","2","0","0","0","0","2","0","8","0","OTHER","2","0","0","0","1","0","2","0","5"
"OTHER MEANS","1","2","0","0","0","0","1","0","4","0","VOTER REQUEST","1","0","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","173","248","0","0","0","2","113","4","540"
"SOCIAL SERVICES","2","3","0","0","1","0","2","0","8","1","","","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"TOTAL","130","122","1","2","25","0","67","1","348","29","TOTAL","248","300","0","0","2","3","134","8","695"
