"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","6","5","0","0","0","0","7","0","18","526","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","162","60","0","0","3","0","36","6","267","38","COUNTY TRANSFER-OUT","373","152","2","0","0","1","100","9","637"
"DESIGNATED STATE AGENCIES","67","17","1","0","0","0","16","0","101","0","CRIMINAL CONVICTION","11","3","0","0","0","0","1","0","15"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","2","DEATH NOTICE","16","4","0","0","0","0","2","0","22"
"FROM ANOTHER BOARD","5","7","0","0","0","0","3","0","15","12","DUPLICATE","7","2","0","0","0","0","3","0","12"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","216","77","1","0","0","0","56","4","354"
"IN PERSON","2","0","0","0","0","0","0","0","2","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","663","204","4","2","86","9","195","1","1,164","91","MOVED OUT OF STATE","208","127","4","0","0","0","97","4","440"
"NVRA BY MAIL","18","6","0","0","1","0","5","0","30","2","OTHER","38","11","0","0","2","0","31","0","82"
"OTHER MEANS","12","5","0","0","0","0","8","0","25","233","VOTER REQUEST","0","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","193","75","1","0","1","2","43","4","319"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","1","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","935","304","5","2","90","9","270","7","1,622","907","TOTAL","1,062","452","8","0","3","3","333","21","1,882"
