"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","0","1","1","BOARD ACTION","120","69","2","0","3","0","48","5","247"
"BY MAIL","71","29","0","0","0","0","34","1","135","28","COUNTY TRANSFER - OUT","105","82","0","0","0","1","39","0","227"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","1","0","2","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","1","1","0","0","0","0","0","0","2"
"FROM ANOTHER BOARD","2","1","0","0","0","0","1","0","4","4","DUPLICATE","4","2","0","0","0","0","4","0","10"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","38","13","0","0","2","1","15","0","69"
"IN PERSON","1","0","0","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","177","92","1","0","22","4","91","6","393","22","MOVED OUT OF STATE","59","42","1","0","3","0","37","1","143"
"NVRA BY MAIL","3","1","0","0","0","0","1","0","5","0","OTHER","5","0","0","0","0","0","1","0","6"
"OTHER MEANS","35","22","0","0","0","2","35","0","94","76","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","11","6","0","0","0","0","7","569","593"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","1","0","1","0","2","0","","","","","","","","","",""
"TOTAL","291","145","1","0","23","6","164","7","637","131","TOTAL","343","215","3","0","8","2","151","575","1,297"
