"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","16","7","0","0","0","0","9","0","32","539","BOARD ACTION","357","299","2","0","3","1","158","15","835"
"BY MAIL","977","488","6","0","26","10","375","11","1,893","263","COUNTY TRANSFER - OUT","2,112","959","15","0","23","13","671","49","3,842"
"DESIGNATED STATE AGENCIES","133","24","1","0","1","1","45","0","205","1","CRIMINAL CONVICTION","47","13","0","0","0","0","15","4","79"
"ELDERLY / DISABLED","7","2","0","0","0","0","3","0","12","8","DEATH NOTICE","638","360","1","0","6","0","97","4","1,106"
"FROM ANOTHER BOARD","427","94","2","0","28","5","113","1","670","46","DUPLICATE","31","6","0","0","1","0","12","1","51"
"PROVISIONAL BALLOT","7","0","0","0","0","0","2","0","9","10","MAIL VERIFICATION (NVRA)","671","453","6","0","4","4","297","14","1,449"
"IN PERSON","38","5","1","0","4","0","7","0","55","24","MENTAL INCOMPETENCY","2","1","0","0","0","0","1","0","4"
"MOTOR VEHICLE ADMINISTRATION","3,819","1,595","26","6","566","41","1,645","22","7,720","1,095","MOVED OUT OF STATE","3,013","1,156","45","0","10","17","974","126","5,341"
"NVRA BY MAIL","61","37","0","0","5","0","34","0","137","7","OTHER","134","39","4","0","8","2","62","0","249"
"OTHER MEANS","499","126","1","0","17","5","125","1","774","665","VOTER REQUEST","9","7","0","0","1","0","3","0","20"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2,100","1,647","12","0","21","28","1,049","631","5,488"
"SOCIAL SERVICES","3","6","0","0","1","0","5","0","15","2","","","","","","","","","",""
"VOLUNTEER","37","36","0","1","4","2","25","0","105","1","","","","","","","","","",""
"TOTAL","6,024","2,420","37","7","652","64","2,388","35","11,627","2,661","TOTAL","9,114","4,940","85","0","77","65","3,339","844","18,464"
