"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","145","49","0","1","3","1","55","3","257","176","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","139","88","0","0","0","0","74","2","303","62","CONFIRMATION MAIL","1","0","1","0","0","0","0","0","2"
"DESIGNATED STATE AGENCIES","49","22","0","0","0","0","27","6","104","0","COUNTY TRANSFER - OUT","3,861","1,641","17","47","3","3","1,501","74","7,147"
"ELDERLY / DISABLED / SOC SEC","1290","495","8","21","4","1","650","19","2,488","63","CRIMINAL CONVICTION","22","3","0","0","0","0","6","0","31"
"ERIC REPORT","5","8","0","0","0","0","1","0","14","0","DEATH NOTICE","41","47","0","0","0","0","21","0","109"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","37","7","0","0","0","0","9","0","53"
"PROVISIONAL BALLOT","3187","1106","12","33","4","3","1374","43","5,762","9,599","MAIL VERIFICATION (NVRA)","1","0","0","0","0","0","0","1","2"
"IN PERSON","23","12","0","0","1","0","14","1","51","67","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1314","1085","5","33","2","2","990","25","3,456","76","MOVED OUT OF STATE","178","87","0","1","0","0","57","1","324"
"NVRA BY MAIL","4","5","0","0","0","0","3","0","12","3","OTHER","0","1","0","0","0","0","2","0","3"
"ONLINE REGISTRATION","41","9","0","0","1","0","24","0","75","8","VOTER REQUEST","5","3","0","0","0","0","6","1","15"
"OTHER MEANS","323","167","0","4","3","0","177","5","679","59","","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SAME DAY REGISTRATION","5380","3934","24","71","10","3","2628","75","12,125","41","","","","","","","","","",""
"SOCIAL SERVICES","1","0","0","0","0","0","0","0","1","2","","","","","","","","","",""
"VOLUNTEER","7","1","0","0","0","0","0","0","8","0","","","","","","","","","",""
"TOTAL","11,908","6,981","49","163","28","10","6,017","179","25,335","10,156","TOTAL","4,146","1,789","18","48","3","3","1,602","77","7,686"
