"Caroline","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","22","25","0","0","0","0","8","1","56","2","COUNTY TRANSFER - OUT","21","24","0","0","1","0","8","0","54"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","18","11","0","0","0","0","4","0","33"
"FROM ANOTHER BOARD","0","1","0","0","0","0","1","0","2","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"HIGH SCHOOL","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","6","11","0","1","0","0","1","0","19","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","30","27","0","0","0","0","14","0","71","5","MOVED OUT OF STATE","1","2","0","0","0","0","0","0","3"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","1","1","0","0","0","0","0","0","2"
"OTHER MEANS","8","7","0","0","0","0","3","1","19","1","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","5","5","0","0","0","0","1","0","11","0","","","","","","","","","",""
"TOTAL","72","76","0","1","0","0","28","2","179","9","TOTAL","41","38","0","0","1","0","12","0","92"
