"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","29","5","0","0","0","0","6","0","40","9","BOARD ACTION","1","0","0","0","0","0","0","0","1"
"BY MAIL","1,007","355","10","2","5","0","245","22","1,646","101","COUNTY TRANSFER-OUT","840","370","8","0","0","0","184","7","1,409"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","29","13","0","0","1","0","9","1","53"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","15","6","0","0","0","0","0","0","21"
"FROM ANOTHER BOARD","3","0","0","0","0","0","0","0","3","2","DUPLICATE","6","0","0","0","0","0","0","0","6"
"HIGH SCHOOL","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","138","41","1","0","1","1","49","2","233"
"IN PERSON","68","13","0","0","1","0","3","1","86","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,197","507","9","1","14","0","534","23","2,285","173","MOVED OUT OF STATE","53","33","1","0","1","0","15","3","106"
"NVRA BY MAIL","81","43","1","0","0","0","26","0","151","1","OTHER","30","8","0","0","1","0","8","0","47"
"OTHER MEANS","188","74","2","0","0","0","54","5","323","365","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","102","16","0","0","1","0","30","2","151","26","","","","","","","","","",""
"VOLUNTEER","140","8","0","0","0","0","11","0","159","0","","","","","","","","","",""
"TOTAL","2,815","1,021","22","3","21","0","909","53","4,844","678","TOTAL","1,112","471","10","0","4","1","265","13","1,876"
