"Kent","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","10","7","1","0","0","0","5","0","23","2","COUNTY TRANSFER - OUT","14","9","0","0","0","0","2","0","25"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","3","1","0","0","0","0","0","0","4","0","DEATH NOTICE","11","8","0","0","0","0","0","0","19"
"FROM ANOTHER BOARD","0","1","0","0","0","0","0","0","1","0","DUPLICATE","1","1","0","0","0","0","1","0","3"
"HIGH SCHOOL","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","20","7","0","0","0","0","2","0","29","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","18","17","0","0","0","0","6","3","44","7","MOVED OUT OF STATE","4","1","0","0","0","0","0","0","5"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","3","0","0","0","0","0","0","0","3"
"OTHER MEANS","11","3","0","0","0","0","0","0","14","9","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","8","0","0","0","0","0","1","0","9","0","","","","","","","","","",""
"TOTAL","70","36","1","0","0","0","14","3","124","18","TOTAL","33","19","0","0","0","0","3","0","55"
