"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","20","1","0","0","0","0","7","0","28","0","BOARD ACTION","15","3","0","0","0","0","1","0","19"
"BY MAIL","110","11","1","0","0","0","21","1","144","0","COUNTY TRANSFER - OUT","825","381","4","1","2","0","108","92","1,413"
"DESIGNATED STATE AGENCIES","2","1","0","0","0","0","2","0","5","0","CRIMINAL CONVICTION","1","0","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","3","1","0","0","0","0","0","0","4"
"FROM ANOTHER BOARD","298","78","1","0","1","0","87","4","469","0","DUPLICATE","11","1","0","0","0","0","1","1","14"
"HIGH SCHOOL","1","0","0","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","552","190","6","0","0","0","78","128","954"
"IN PERSON","52","4","0","0","0","0","4","0","60","0","MENTAL INCOMPETENCY","1","0","0","0","0","0","1","0","2"
"MOTOR VEHICLE ADMINISTRATION","1,079","158","4","0","4","1","326","27","1,599","0","MOVED OUT OF STATE","76","22","0","0","2","0","11","12","123"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","0","1","0","0","0","0","0","0","1"
"OTHER MEANS","40","8","0","0","0","0","12","0","60","3","VOTER REQUEST","1","0","0","0","0","0","1","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","96","17","0","0","0","0","23","0","136","0","","","","","","","","","",""
"TOTAL","1,698","278","6","0","5","1","482","32","2,502","3","TOTAL","1,485","599","10","1","4","0","201","233","2,533"
