"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","0","1","1","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","67","46","0","1","3","0","19","1","137","2","COUNTY TRANSFER - OUT","27","30","0","0","0","0","19","0","76"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","1","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","6","5","0","0","0","0","0","0","11"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","0","1","0","0","0","0","0","0","1"
"HIGH SCHOOL","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","93","108","1","0","1","0","56","7","266"
"IN PERSON","17","15","0","0","0","0","3","1","36","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","73","84","0","0","1","0","44","2","204","32","MOVED OUT OF STATE","9","15","0","0","0","0","1","0","25"
"NVRA BY MAIL","3","4","0","0","0","0","2","0","9","0","OTHER","1","0","0","0","0","0","0","0","1"
"OTHER MEANS","10","27","0","0","0","0","5","2","44","5","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","10","3","0","0","0","0","2","0","15","0","","","","","","","","","",""
"TOTAL","181","179","0","1","4","0","75","6","446","40","TOTAL","136","159","2","0","1","0","76","7","381"
