"Cecil","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","24","30","0","0","0","0","9","1","64","15","COUNTY TRANSFER - OUT","15","18","0","0","0","0","10","2","45"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","4","0","0","0","0","0","1","0","5"
"FROM ANOTHER BOARD","12","14","0","0","1","0","5","1","33","0","DUPLICATE","1","2","0","0","0","0","0","0","3"
"HIGH SCHOOL","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","5","22","0","0","0","0","6","0","33"
"IN PERSON","6","5","0","0","0","0","1","0","12","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","178","144","2","1","1","0","106","3","435","82","MOVED OUT OF STATE","13","17","1","0","0","0","9","1","41"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","1","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","1","2","0","0","0","0","1","0","4","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","0","0","1","0","","","","","","","","","",""
"TOTAL","221","196","2","1","2","0","122","5","549","99","TOTAL","38","59","1","0","0","0","26","3","127"
