"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","20","6","0","0","0","0","10","1","37","9","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","447","191","3","4","0","0","176","17","838","630","CONFIRMATION MAIL","5","4","0","0","0","0","2","0","11"
"DESIGNATED STATE AGENCIES","295","64","0","0","12","2","216","30","619","23","COUNTY TRANSFER - OUT","4,050","1,611","15","32","13","2","1,573","74","7,370"
"ELDERLY / DISABLED / SOC SEC","404","90","0","3","8","1","229","128","863","2","CRIMINAL CONVICTION","26","5","0","0","0","0","12","0","43"
"ERIC REPORT","6","10","0","0","0","0","1","0","17","18","DEATH NOTICE","2,307","1,197","2","7","0","0","401","39","3,953"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","233","70","0","4","0","0","78","14","399"
"PROVISIONAL BALLOT","37","9","0","2","0","0","14","1","63","219","MAIL VERIFICATION (NVRA)","13,455","7,900","71","214","2","4","7,372","287","29,305"
"IN PERSON","23","11","0","1","0","0","9","0","44","64","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","7144","2601","29","127","30","3","4052","131","14,117","847","MOVED OUT OF STATE","143","179","0","2","0","0","84","7","415"
"NVRA BY MAIL","1","0","0","0","0","0","1","0","2","6","OTHER","5","2","0","0","0","0","9","0","16"
"ONLINE REGISTRATION","199","63","2","7","3","0","81","5","360","8","VOTER REQUEST","9","49","0","1","0","0","10","2","71"
"OTHER MEANS","40","17","0","1","0","0","16","3","77","90","","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SAME DAY REGISTRATION","9","0","0","0","0","0","2","0","11","4","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","4","0","0","1","0","0","0","0","5","0","","","","","","","","","",""
"TOTAL","8,629","3,062","34","146","53","6","4,807","316","17,053","1,920","TOTAL","20,233","11,017","88","260","15","6","9,541","423","41,583"
