"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","1","0","3","9","BOARD ACTION","0","0","0","0","0","1","0","1"
"BY MAIL","1014","422","1","10","12","467","10","1,936","602","CONFIRMATION MAIL","169","131","0","3","5","173","7","488"
"DESIGNATED STATE AGENCIES","33","12","1","0","1","8","0","55","12","COUNTY TRANSFER - OUT","3,308","1,196","2","14","21","1,206","43","5,790"
"ELDERLY / DISABLED","8","1","0","0","0","2","0","11","2","CRIMINAL CONVICTION","224","40","0","1","0","61","4","330"
"FROM ANOTHER BOARD","22","16","0","0","0","6","3","47","20","DEATH NOTICE","2,210","798","0","3","2","237","29","3,279"
"PROVISIONAL BALLOT","11","0","0","0","0","2","0","13","7","DUPLICATE","9","3","0","0","0","3","2","17"
"IN PERSON","63","24","0","0","0","25","0","112","423","MAIL VERIFICATION (NVRA)","8,576","3,024","0","81","60","3,711","205","15,657"
"MOTOR VEHICLE ADMINISTRATION","7144","2393","21","10","14","3463","40","13,085","5,771","MENTAL INCOMPETENCY","0","0","0","0","0","1","0","1"
"NVRA BY MAIL","17","16","0","0","0","10","2","45","0","MOVED OUT OF STATE","482","315","0","3","3","221","11","1,035"
"ONLINE REGISTRATION","231","163","1","2","16","149","4","566","48","OTHER","299","80","0","0","1","85","2","467"
"OTHER MEANS","211","83","0","0","0","81","5","380","458","VOTER REQUEST","6","9","0","0","0","4","0","19"
"RECRUITING","0","0","0","0","0","0","0","0","0","","","","","","","","","0"
"SOCIAL SERVICES","30","4","0","0","0","19","0","53","6","","","","","","","","",""
"VOLUNTEER","7","4","0","0","0","6","0","17","0","","","","","","","","",""
"TOTAL","8,792","3,139","24","22","43","4,239","64","16,323","7,358","TOTAL","15,283","5,596","2","105","92","5,703","303","27,084"
