"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","60","29","2","0","0","0","15","1","107","170","BOARD ACTION","1","0","0","0","0","0","0","0","1"
"BY MAIL","1,024","324","10","3","8","1","467","26","1,863","113","COUNTY TRANSFER - OUT","984","339","8","1","2","0","355","1","1,690"
"DESIGNATED STATE AGENCIES","2","1","0","0","1","0","2","0","6","2","CRIMINAL CONVICTION","4","1","0","0","0","0","3","0","8"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","2","DEATH NOTICE","127","65","0","0","0","0","9","0","201"
"FROM ANOTHER BOARD","6","0","0","0","0","0","0","0","6","0","DUPLICATE","19","5","0","0","0","0","5","0","29"
"PROVISIONAL BALLOT","151","19","0","0","1","0","12","0","183","1,826","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","122","38","1","0","0","0","54","8","223","12","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","741","247","2","0","10","0","544","17","1,561","243","MOVED OUT OF STATE","522","280","6","0","2","0","234","1","1,045"
"NVRA BY MAIL","9","0","0","0","0","0","8","0","17","0","OTHER","59","15","0","0","0","0","30","0","104"
"OTHER MEANS","87","19","0","0","0","0","11","1","118","224","VOTER REQUEST","4","1","0","0","0","0","1","0","6"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","483","248","3","0","5","0","228","0","967"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","87","26","1","0","0","0","41","0","155","0","","","","","","","","","",""
"TOTAL","2,289","703","16","3","20","1","1,154","53","4,239","2,592","TOTAL","2,203","954","17","1","9","0","865","2","4,051"
