"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","3","0","0","0","0","0","0","4","7","BOARD ACTION","0","1","0","0","0","0","0","0","1"
"BY MAIL","116","93","2","1","0","0","59","3","274","0","COUNTY TRANSFER - OUT","60","71","0","0","0","0","39","1","171"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","3","3","0","0","0","0","1","0","7"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","14","13","0","0","0","0","3","0","30"
"FROM ANOTHER BOARD","8","18","0","0","0","0","6","1","33","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","10","18","0","0","0","0","6","0","34","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","85","89","1","0","2","0","66","3","246","25","MOVED OUT OF STATE","16","22","0","0","0","0","7","0","45"
"NVRA BY MAIL","5","1","0","0","1","0","3","0","10","0","OTHER","1","2","0","0","0","0","0","2","5"
"OTHER MEANS","10","3","0","0","0","0","0","0","13","24","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","37","26","0","0","1","0","5","1","70"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","10","22","0","0","0","0","5","1","38","0","","","","","","","","","",""
"TOTAL","245","247","3","1","3","0","145","8","652","56","TOTAL","131","138","0","0","1","0","55","4","329"
