"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","590","272","4","0","1","0","113","13","993","420","BOARD ACTION","27","3","1","0","0","0","8","1","40"
"BY MAIL","6,265","3,232","71","9","66","4","2,809","118","12,574","489","COUNTY TRANSFER - OUT","6,780","3,196","58","3","24","0","1,886","206","12,153"
"DESIGNATED STATE AGENCIES","278","87","3","0","3","0","142","7","520","15","CRIMINAL CONVICTION","58","34","3","0","0","0","39","1","135"
"ELDERLY / DISABLED","10","3","0","0","0","0","2","0","15","38","DEATH NOTICE","476","278","0","0","0","0","28","7","789"
"FROM ANOTHER BOARD","1,237","338","12","4","13","1","389","21","2,015","16","DUPLICATE","322","125","1","0","3","0","94","5","550"
"PROVISIONAL BALLOT","423","59","0","0","2","0","25","2","511","1,930","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","665","378","3","0","9","0","267","19","1,341","92","MENTAL INCOMPETENCY","7","8","0","0","0","0","7","0","22"
"MOTOR VEHICLE ADMINISTRATION","5,293","2,893","53","3","74","8","3,318","90","11,732","927","MOVED OUT OF STATE","1,044","844","11","0","6","0","454","11","2,370"
"NVRA BY MAIL","425","277","6","1","7","0","185","6","907","16","OTHER","164","65","0","0","2","0","102","3","336"
"OTHER MEANS","786","244","9","1","3","0","228","23","1,294","1,474","VOTER REQUEST","25","16","0","0","0","0","13","1","55"
"RECRUITING","1","4","0","0","0","0","1","0","6","0","CONFIRMATION","680","415","3","0","6","0","287","6","1,397"
"SOCIAL SERVICES","3","1","0","0","0","0","0","0","4","0","","","","","","","","","",""
"VOLUNTEER","1,636","562","14","2","18","1","638","22","2,893","0","","","","","","","","","",""
"TOTAL","17,612","8,350","175","20","196","14","8,117","321","34,805","5,417","TOTAL","9,583","4,984","77","3","41","0","2,918","241","17,847"
