"Talbot","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","8","6","0","0","0","0","3","0","17","9","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","51","51","0","0","0","0","24","4","130","24","COUNTY TRANSFER - OUT","82","99","0","0","1","0","44","3","229"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","1","0","0","0","0","0","0","1","0","DEATH NOTICE","12","13","0","0","0","0","2","0","27"
"FROM ANOTHER BOARD","14","8","0","0","0","0","0","0","22","1","DUPLICATE","2","1","0","0","0","0","0","0","3"
"PROVISIONAL BALLOT","8","0","0","0","0","0","0","0","8","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","12","8","0","0","1","0","5","2","28","1","MENTAL INCOMPETENCY","1","0","0","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","41","43","0","0","0","0","30","0","114","45","MOVED OUT OF STATE","11","17","0","0","0","0","8","1","37"
"NVRA BY MAIL","11","6","2","0","0","0","5","0","24","2","OTHER","6","2","0","0","0","0","2","0","10"
"OTHER MEANS","10","5","2","0","0","0","1","0","18","8","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","5","6","0","0","0","0","3","0","14","0","","","","","","","","","",""
"TOTAL","160","134","4","0","1","0","71","6","376","91","TOTAL","114","132","0","0","1","0","56","4","307"
