"SUMMARY","","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","","DEM","REP","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","0","1","0","1","0","2","1","BOARD ACTION","0","0","0","0","0","0"
"BY MAIL","","169","52","1","80","8","310","394","CONFIRMATION MAIL","1","2","0","3","0","6"
"DESIGNATED STATE AGENCIES","","202","56","1","129","19","407","136","COUNTY TRANSFER - OUT","3,498","1,063","40","1,396","88","6,085"
"ELDERLY / DISABLED / SOC SEC","","103","25","1","66","5","200","4","CRIMINAL CONVICTION","63","11","1","28","5","108"
"ERIC REPORT","","2","1","0","0","1","4","0","DEATH NOTICE","1,823","884","2","350","32","3,091"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","85","18","2","24","3","132"
"PROVISIONAL BALLOT","","1","0","0","3","0","4","0","MAIL VERIFICATION (NVRA)","836","358","9","405","50","1,658"
"IN PERSON","","4","1","0","6","1","12","2","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","7599","2623","147","6055","255","16,679","245","MOVED OUT OF STATE","134","82","1","57","5","279"
"NVRA BY MAIL","","13","2","0","0","1","16","10","OTHER","66","19","1","55","2","143"
"ONLINE REGISTRATION","","224","70","4","125","4","427","0","VOTER REQUEST","19","11","0","11","1","42"
"OTHER MEANS","","52","17","1","55","4","129","22","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","0","","","","","","",""
"SAME DAY PROVISIONAL","","0","0","0","0","0","0","1","","","","","","",""
"SOCIAL SERVICES","","0","0","0","0","0","0","0","","","","","","",""
"VOLUNTEER","","21","4","0","17","1","43","0","","","","","","",""
"TOTAL","","8,390","2,852","155","6,537","299","18,233","815","TOTAL","6,525","2,448","56","2,329","186","11,544"
