LBE,Election Day,Early Voting,Vote By Mail,Provisional,Eligible Voters,TURNOUT,Party
Allegany,"18,201","7,198","5,634","1,350","43,446",74.54%,Statewide
Anne Arundel,"113,836","101,527","83,956","12,766","412,520",75.65%,Statewide
Baltimore City,"94,276","52,947","61,925","23,501","399,506",58.23%,Statewide
Baltimore County,"157,715","126,138","109,336","21,153","575,365",72.01%,Statewide
Calvert,"16,923","23,150","12,624","1,495","69,361",78.13%,Statewide
Caroline,"8,212","5,486","2,169",361,"21,960",73.90%,Statewide
Carroll,"44,504","34,983","21,077","2,423","129,250",79.68%,Statewide
Cecil,"23,492","18,168","9,500","1,570","72,451",72.78%,Statewide
Charles,"34,439","34,722","18,752","4,062","125,108",73.52%,Statewide
Dorchester,"8,273","5,095","3,040",404,"23,672",71.02%,Statewide
Frederick,"67,950","46,371","36,857","5,191","203,331",76.90%,Statewide
Garrett,"7,746","5,314","2,471",329,"20,549",77.18%,Statewide
Harford,"63,573","55,356","27,661","3,655","192,898",77.89%,Statewide
Howard,"67,918","59,647","48,856","6,297","236,641",77.21%,Statewide
Kent,"4,922","3,609","2,306",335,"14,126",79.09%,Statewide
Montgomery,"172,134","154,582","166,773","27,433","683,515",76.21%,Statewide
Prince George's,"128,147","148,969","99,166","28,688","610,390",66.35%,Statewide
Queen Anne's,"12,137","13,737","5,743",791,"40,876",79.28%,Statewide
Saint Mary's,"22,196","23,845","11,060","1,690","76,628",76.72%,Statewide
Somerset,"4,432","3,617","1,486",608,"14,302",70.92%,Statewide
Talbot,"7,687","9,282","5,382",570,"28,508",80.40%,Statewide
Washington,"31,309","25,012","14,431","2,479","100,648",72.76%,Statewide
Wicomico,"20,046","16,286","8,598","1,866","66,274",70.61%,Statewide
Worcester,"15,066","9,904","6,980",976,"43,247",76.13%,Statewide
TOTAL,"1,145,134","984,945","765,783","149,993","4,204,572",72.44%,Statewide
Allegany,"3,648","1,617","2,459",423,"10,812",75.35%,Democrat
Anne Arundel,"41,513","41,455","46,309","5,657","172,652",78.15%,Democrat
Baltimore City,"71,900","44,453","51,803","17,399","298,865",62.09%,Democrat
Baltimore County,"76,310","68,533","71,054","11,990","306,847",74.27%,Democrat
Calvert,"5,005","6,737","6,288",511,"23,494",78.92%,Democrat
Caroline,"1,845","1,284",989,95,"5,936",70.97%,Democrat
Carroll,"8,866","7,955","9,401",709,"33,091",81.38%,Democrat
Cecil,"5,065","3,880","3,962",418,"19,013",70.08%,Democrat
Charles,"20,054","21,662","12,999","2,580","75,333",76.06%,Democrat
