"Talbot","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","5","6","0","0","1","0","4","1","17","0","BOARD ACTION","0","1","0","0","0","0","0","0","1"
"BY MAIL","147","51","0","0","12","6","44","0","260","0","COUNTY TRANSFER - OUT","42","36","0","0","0","0","28","1","107"
"DESIGNATED STATE AGENCIES","4","0","0","0","0","0","1","0","5","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","0","1","0","0","0","0","1","0","2"
"FROM ANOTHER BOARD","7","2","0","0","0","1","2","0","12","0","DUPLICATE","0","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1","1","0","0","0","0","2","0","4"
"IN PERSON","113","68","1","0","3","1","50","1","237","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","56","45","1","0","2","0","19","0","123","0","MOVED OUT OF STATE","2","2","0","0","0","0","3","0","7"
"NVRA BY MAIL","0","0","0","0","0","0","1","0","1","0","OTHER","1","0","0","0","0","0","1","0","2"
"OTHER MEANS","3","2","0","0","0","0","2","0","7","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","23","6","0","0","1","0","5","0","35","0","","","","","","","","","",""
"TOTAL","358","180","2","0","19","8","128","2","697","0","TOTAL","46","42","0","0","0","0","35","1","124"
