"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","8","3","0","0","0","0","2","0","13","13","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","441","277","1","0","28","2","218","5","972","91","COUNTY TRANSFER - OUT","144","79","4","0","0","0","70","3","300"
"DESIGNATED STATE AGENCIES","1","1","0","0","0","0","0","0","2","0","CRIMINAL CONVICTION","2","0","0","0","0","0","0","0","2"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","0","1","1","DEATH NOTICE","27","12","0","0","0","0","0","0","39"
"FROM ANOTHER BOARD","3","2","0","0","0","0","1","1","7","0","DUPLICATE","2","0","0","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","2","1","0","0","0","0","0","0","3"
"IN PERSON","61","47","0","0","1","0","33","0","142","9","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","167","139","1","0","3","2","115","0","427","75","MOVED OUT OF STATE","19","23","0","0","0","2","21","2","67"
"NVRA BY MAIL","169","68","1","0","4","3","39","0","284","31","OTHER","3","1","0","0","0","0","1","0","5"
"OTHER MEANS","4","3","0","0","0","0","1","0","8","3","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","52","19","0","0","8","0","20","0","99","21","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","27","3","0","0","0","0","5","0","35","2","","","","","","","","","",""
"VOLUNTEER","48","6","0","0","1","1","7","1","64","0","","","","","","","","","",""
"TOTAL","982","568","3","0","45","8","441","7","2,054","247","TOTAL","199","116","4","0","0","2","92","5","418"
