"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","39","26","0","0","4","0","11","1","81","3","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","418","543","4","0","120","3","359","2","1,449","73","COUNTY TRANSFER - OUT","165","165","2","0","0","1","91","0","424"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","1","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","32","24","0","0","0","0","0","0","56"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","1","DUPLICATE","0","1","0","0","0","0","1","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","116","157","1","0","17","0","92","0","383","13","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","149","181","4","0","9","2","155","0","500","97","MOVED OUT OF STATE","6","19","1","0","0","0","2","0","28"
"NVRA BY MAIL","24","45","0","0","0","0","30","0","99","5","OTHER","2","3","0","0","0","0","2","0","7"
"OTHER MEANS","9","11","0","0","1","0","3","0","24","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","3","0","0","0","0","0","0","4"
"SOCIAL SERVICES","1","0","0","0","0","0","1","0","2","0","","","","","","","","","",""
"VOLUNTEER","27","34","1","0","1","1","21","0","85","0","","","","","","","","","",""
"TOTAL","783","997","10","0","152","6","672","3","2,623","192","TOTAL","206","216","3","0","0","1","96","0","522"
