"Dorchester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","9","3","0","0","0","0","2","0","14","3","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","139","68","0","0","6","2","46","1","262","14","COUNTY TRANSFER - OUT","56","35","0","0","0","0","17","1","109"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","8","6","0","0","0","0","0","0","14"
"FROM ANOTHER BOARD","5","1","0","0","0","0","0","0","6","6","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","90","33","0","0","3","2","24","0","152","5","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","59","36","0","0","4","0","22","1","122","30","MOVED OUT OF STATE","0","0","0","0","0","0","1","0","1"
"NVRA BY MAIL","9","1","0","0","0","0","1","0","11","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","16","10","0","0","0","0","2","0","28","4","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","16","12","0","0","0","0","9","1","38"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","99","6","0","0","0","0","7","0","112","0","","","","","","","","","",""
"TOTAL","426","158","0","0","13","4","104","2","707","62","TOTAL","80","53","0","0","0","0","27","2","162"
