"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","1","0","0","0","0","1","0","4","0","BOARD ACTION","1","0","0","0","0","0","0","0","1"
"BY MAIL","80","43","1","0","6","1","43","1","175","11","COUNTY TRANSFER - OUT","163","84","1","0","3","0","78","0","329"
"DESIGNATED STATE AGENCIES","4","0","0","0","0","0","2","0","6","0","CRIMINAL CONVICTION","4","2","0","0","0","0","7","0","13"
"ELDERLY / DISABLED","2","0","0","0","0","0","0","0","2","0","DEATH NOTICE","225","163","0","0","0","1","19","0","408"
"FROM ANOTHER BOARD","2","3","0","0","0","0","3","0","8","3","DUPLICATE","1","0","0","0","0","0","1","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","693","994","7","0","3","7","469","0","2,173"
"IN PERSON","0","2","0","0","0","0","0","0","2","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","280","181","3","0","70","4","164","6","708","136","MOVED OUT OF STATE","21","16","0","0","0","1","16","0","54"
"NVRA BY MAIL","10","8","0","0","0","0","5","0","23","0","OTHER","6","3","0","0","1","0","10","0","20"
"OTHER MEANS","7","3","0","0","0","0","3","0","13","2","VOTER REQUEST","2","1","0","0","0","1","2","0","6"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2,401","2,123","19","0","6","12","1,492","7","6,060"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","387","241","4","0","76","5","221","7","941","155","TOTAL","3,517","3,386","27","0","13","22","2,094","7","9,066"
