"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","4","3","0","0","0","0","1","0","8","91","BOARD ACTION","31","15","0","0","0","0","14","0","60"
"BY MAIL","714","333","10","1","1","12","324","10","1,405","562","COUNTY TRANSFER - OUT","1,635","800","15","0","18","12","583","50","3,113"
"DESIGNATED STATE AGENCIES","113","25","0","1","7","1","25","1","173","13","CRIMINAL CONVICTION","63","14","0","0","0","0","22","0","99"
"ELDERLY / DISABLED","6","1","1","0","2","0","4","0","14","7","DEATH NOTICE","3,173","1,333","8","0","16","3","269","46","4,848"
"FROM ANOTHER BOARD","241","79","1","0","7","0","67","4","399","63","DUPLICATE","50","25","0","0","0","0","17","1","93"
"PROVISIONAL BALLOT","1","0","0","0","0","0","1","0","2","407","MAIL VERIFICATION (NVRA)","912","1,159","8","0","5","7","570","4","2,665"
"IN PERSON","20","18","0","0","2","0","8","0","48","10","MENTAL INCOMPETENCY","0","1","0","0","0","0","1","0","2"
"MOTOR VEHICLE ADMINISTRATION","3,701","1,622","31","5","570","52","1,509","42","7,532","2,306","MOVED OUT OF STATE","417","276","8","0","8","6","192","4","911"
"NVRA BY MAIL","75","40","0","0","13","0","32","0","160","7","OTHER","60","14","2","0","3","3","40","1","123"
"OTHER MEANS","1,028","478","11","1","159","19","416","6","2,118","1,683","VOTER REQUEST","4","4","0","0","0","1","5","0","14"
"RECRUITING","0","1","0","0","0","0","1","0","2","0","CONFIRMATION MAIL","3,995","2,981","31","0","19","22","2,208","70","9,326"
"SOCIAL SERVICES","8","2","0","0","1","0","5","0","16","16","","","","","","","","","",""
"VOLUNTEER","16","12","0","0","2","0","17","0","47","0","","","","","","","","","",""
"TOTAL","5,927","2,614","54","8","764","84","2,410","63","11,924","5,165","TOTAL","10,340","6,622","72","0","69","54","3,921","176","21,254"
