"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","6","1","0","0","1","0","7","0","15","1","COUNTY TRANSFER - OUT","20","16","1","0","0","0","14","0","51"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","18","9","0","0","1","0","1","0","29"
"FROM ANOTHER BOARD","2","6","0","0","0","0","1","0","9","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","2","0","0","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","49","55","0","1","16","2","28","0","151","14","MOVED OUT OF STATE","2","2","0","0","0","0","4","1","9"
"NVRA BY MAIL","2","0","0","0","0","0","0","0","2","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","2","0","0","2","0","1","0","5","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","4","1","0","0","1","0","2","0","8"
"SOCIAL SERVICES","0","0","0","0","0","0","1","0","1","0","","","","","","","","","",""
"VOLUNTEER","2","0","0","0","0","0","1","0","3","0","","","","","","","","","",""
"TOTAL","63","64","0","1","19","2","39","0","188","15","TOTAL","44","28","1","0","2","0","21","1","97"
