"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","27","51","0","2","20","0","100","1","COUNTY TRANSFER - OUT","28","41","1","0","19","0","89"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","27","33","0","0","2","0","62"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","1","2","0","0","0","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","3","4","0","0","1","0","8","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","68","91","1","2","56","0","218","30","MOVED OUT OF STATE","7","19","0","0","10","0","36"
"NVRA BY MAIL","2","14","0","0","2","0","18","0","OTHER","0","1","0","0","0","0","1"
"OTHER MEANS","0","3","0","0","0","0","3","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","8","13","0","0","3","0","24"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","1","4","0","0","1","0","6","0","","","","","","","",""
"TOTAL","101","168","1","4","80","0","354","31","TOTAL","71","109","1","0","34","0","215"
