"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","33","6","0","0","8","0","47","5","BOARD ACTION","218","143","2","2","115","8","488"
"BY MAIL","1,234","472","10","12","516","30","2,274","151","COUNTY TRANSFER - OUT","2,327","933","21","10","639","61","3,991"
"DESIGNATED STATE AGENCIES","68","36","0","0","43","3","150","8","CRIMINAL CONVICTION","96","36","1","2","31","8","174"
"ELDERLY / DISABLED","4","1","0","0","0","0","5","0","DEATH NOTICE","1,457","575","2","1","142","47","2,224"
"FROM ANOTHER BOARD","446","117","5","7","159","6","740","3","DUPLICATE","31","7","0","0","13","0","51"
"PROVISIONAL BALLOT","339","14","0","0","19","4","376","56","MAIL VERIFICATION (NVRA)","193","111","1","0","65","30","400"
"IN PERSON","99","26","0","1","17","0","143","18","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","4,437","2,075","43","62","2,752","71","9,440","547","MOVED OUT OF STATE","728","492","3","1","261","40","1,525"
"NVRA BY MAIL","112","86","1","1","61","2","263","3","OTHER","83","33","0","1","42","1","160"
"OTHER MEANS","589","88","1","1","422","4","1,105","224","VOTER REQUEST","8","9","0","0","4","0","21"
"RECRUITING","1","2","0","0","0","0","3","0","CONFIRMATION MAIL","3,422","2,776","27","24","1,941","15","8,205"
"SOCIAL SERVICES","2","0","0","0","1","0","3","0","","","","","","","",""
"VOLUNTEER","170","95","0","0","95","5","365","0","","","","","","","",""
"TOTAL","7,534","3,018","60","84","4,093","125","14,914","1,015","TOTAL","8,563","5,115","57","41","3,253","210","17,239"
