"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","13","0","0","0","7","0","20","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","233","54","3","2","106","6","404","2","COUNTY TRANSFER - OUT","233","86","1","2","73","2","397"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","1","0","CRIMINAL CONVICTION","1","2","0","0","4","0","7"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","460","210","0","0","79","3","752"
"FROM ANOTHER BOARD","18","3","1","0","7","0","29","0","DUPLICATE","2","0","0","0","1","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","5","2","0","0","0","0","7","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","645","235","7","5","553","7","1,452","8","MOVED OUT OF STATE","230","111","1","0","98","3","443"
"NVRA BY MAIL","0","0","0","0","0","1","1","0","OTHER","18","4","0","0","13","0","35"
"OTHER MEANS","34","9","0","0","13","0","56","1","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","126","58","0","1","65","0","250"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","56","21","0","0","24","2","103","0","","","","","","","",""
"TOTAL","1,004","325","11","7","710","16","2,073","12","TOTAL","1,070","471","2","3","333","8","1,887"
