"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","5","8","0","0","4","0","17","0","COUNTY TRANSFER - OUT","15","19","1","0","6","1","42"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","11","11","0","0","1","1","24"
"FROM ANOTHER BOARD","2","2","0","0","1","0","5","0","DUPLICATE","1","0","0","0","1","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","1","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","58","42","2","1","54","1","158","7","MOVED OUT OF STATE","5","8","0","0","2","0","15"
"NVRA BY MAIL","2","4","0","0","1","0","7","0","OTHER","0","1","0","0","0","0","1"
"OTHER MEANS","0","0","0","0","0","0","0","0","VOTER REQUEST","0","1","0","0","1","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","1","0","1"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","1","0","","","","","","","",""
"TOTAL","68","57","2","1","60","1","189","7","TOTAL","32","40","1","0","12","2","87"
