"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","6","3","0","0","3","0","12"
"BY MAIL","17","7","1","1","6","2","34","5","COUNTY TRANSFER - OUT","28","13","0","0","6","0","47"
"DESIGNATED STATE AGENCIES","2","0","0","0","1","0","3","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","17","5","0","0","0","0","22"
"FROM ANOTHER BOARD","1","2","0","0","1","0","4","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","4","1","0","0","2","0","7","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","60","43","0","1","44","2","150","47","MOVED OUT OF STATE","3","2","0","0","1","0","6"
"NVRA BY MAIL","6","4","0","0","0","0","10","1","OTHER","2","1","0","0","0","0","3"
"OTHER MEANS","2","0","0","0","0","0","2","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","1","0","","","","","","","",""
"TOTAL","93","57","1","2","54","4","211","54","TOTAL","56","24","0","0","10","0","90"
