"Talbot","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","19","14","0","0","5","0","38","8","COUNTY TRANSFER - OUT","12","17","0","0","4","0","33"
"DESIGNATED STATE AGENCIES","1","3","0","0","2","0","6","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","2","0","0","0","0","0","2"
"FROM ANOTHER BOARD","1","3","0","0","1","0","5","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","5","1","0","0","0","1","7"
"IN PERSON","0","0","0","0","1","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","23","26","0","0","15","2","66","6","MOVED OUT OF STATE","8","5","0","0","1","0","14"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","1","0","0","0","0","0","1"
"OTHER MEANS","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","1"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","1","0","","","","","","","",""
"TOTAL","44","47","0","0","24","2","117","15","TOTAL","29","23","0","0","5","1","58"
