"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","7","10","0","1","5","1","24","4","COUNTY TRANSFER - OUT","14","17","0","0","8","0","39"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","14","9","0","0","3","0","26"
"FROM ANOTHER BOARD","4","1","0","0","0","0","5","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","1","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","39","20","1","0","15","1","76","17","MOVED OUT OF STATE","3","3","0","0","2","0","8"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","0","0","0","0","3","0","3"
"OTHER MEANS","1","0","0","0","0","0","1","1","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","18","4","0","0","3","0","25"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","51","32","1","1","20","2","107","22","TOTAL","49","33","0","0","19","0","101"
