"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","19","13","0","0","11","3","46","2","COUNTY TRANSFER - OUT","17","14","0","0","9","0","40"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","5","0","0","0","0","0","5"
"FROM ANOTHER BOARD","1","2","0","0","1","0","4","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","76","75","2","1","61","1","216","18","MOVED OUT OF STATE","6","8","0","0","2","3","19"
"NVRA BY MAIL","4","3","0","0","3","0","10","0","OTHER","2","0","0","0","1","0","3"
"OTHER MEANS","0","0","0","0","1","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","1","2","0","0","0","0","3","0","CONFIRMATION MAIL","10","9","0","1","9","2","31"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","101","95","2","1","77","4","280","20","TOTAL","40","31","0","1","21","5","98"
