"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","12","4","0","0","0","0","16","0","BOARD ACTION","4","1","0","0","0","0","5"
"BY MAIL","319","53","0","0","78","4","454","9","COUNTY TRANSFER - OUT","467","85","3","2","99","4","660"
"DESIGNATED STATE AGENCIES","2","0","0","0","0","1","3","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","3","0","0","0","0","0","3","0","DEATH NOTICE","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","20","5","1","0","2","0","28","0","DUPLICATE","3","0","0","0","5","0","8"
"PROVISIONAL BALLOT","339","14","0","0","19","4","376","55","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","43","3","0","1","8","0","55","13","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","631","129","5","10","263","5","1,043","14","MOVED OUT OF STATE","0","0","0","0","0","0","0"
"NVRA BY MAIL","2","0","0","0","2","0","4","0","OTHER","4","1","0","0","1","0","6"
"OTHER MEANS","30","2","0","0","7","0","39","3","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","11","1","0","0","0","1","13","0","","","","","","","",""
"TOTAL","1,412","211","6","11","379","15","2,034","94","TOTAL","478","87","3","2","105","4","679"
